time_from_recovery_onset_s,stress_Pa,strain_frac
1.791000000000000000e+03,3.360000000000000000e+06,4.112159296330157587e-02
1.792000000000000000e+03,3.360000000000000000e+06,4.112032028674048739e-02
1.793000000000000000e+03,3.360000000000000000e+06,4.111904832018029726e-02
1.794000000000000000e+03,3.360000000000000000e+06,4.111777706282927075e-02
1.795000000000000000e+03,3.360000000000000000e+06,4.111650651389697764e-02
1.796000000000000000e+03,3.360000000000000000e+06,4.111523667259430609e-02
1.797000000000000000e+03,3.360000000000000000e+06,4.111396753813348348e-02
1.798000000000000000e+03,3.360000000000000000e+06,4.111269910972802782e-02
1.799000000000000000e+03,3.360000000000000000e+06,4.111143138659278246e-02
1.800000000000000000e+03,3.360000000000000000e+06,4.111016436794390216e-02
1.801000000000000000e+03,3.360000000000000000e+06,4.110889805299881850e-02
1.802000000000000000e+03,3.360000000000000000e+06,4.110763244097631608e-02
1.803000000000000000e+03,3.360000000000000000e+06,4.110636753109643549e-02
1.804000000000000000e+03,3.360000000000000000e+06,4.110510332258054261e-02
1.805000000000000000e+03,3.360000000000000000e+06,4.110383981465128705e-02
1.806000000000000000e+03,3.360000000000000000e+06,4.110257700653259516e-02
1.807000000000000000e+03,3.360000000000000000e+06,4.110131489744972555e-02
1.808000000000000000e+03,3.360000000000000000e+06,4.110005348662916502e-02
1.809000000000000000e+03,3.360000000000000000e+06,4.109879277329873265e-02
1.810000000000000000e+03,3.360000000000000000e+06,4.109753275668749650e-02
1.811000000000000000e+03,3.360000000000000000e+06,4.109627343602582222e-02
1.812000000000000000e+03,3.360000000000000000e+06,4.109501481054533834e-02
1.813000000000000000e+03,3.360000000000000000e+06,4.109375687947894318e-02
1.814000000000000000e+03,3.360000000000000000e+06,4.109249964206081185e-02
1.815000000000000000e+03,3.360000000000000000e+06,4.109124309752638926e-02
1.816000000000000000e+03,3.360000000000000000e+06,4.108998724511238321e-02
1.817000000000000000e+03,3.360000000000000000e+06,4.108873208405672967e-02
1.818000000000000000e+03,3.360000000000000000e+06,4.108747761359867606e-02
1.819000000000000000e+03,3.360000000000000000e+06,4.108622383297868413e-02
1.820000000000000000e+03,3.360000000000000000e+06,4.108497074143848543e-02
1.821000000000000000e+03,3.360000000000000000e+06,4.108371833822105357e-02
1.822000000000000000e+03,3.360000000000000000e+06,4.108246662257061810e-02
1.823000000000000000e+03,3.360000000000000000e+06,4.108121559373265064e-02
1.824000000000000000e+03,3.360000000000000000e+06,4.107996525095385099e-02
1.825000000000000000e+03,3.360000000000000000e+06,4.107871559348216794e-02
1.826000000000000000e+03,3.360000000000000000e+06,4.107746662056679932e-02
1.827000000000000000e+03,3.360000000000000000e+06,4.107621833145814333e-02
1.828000000000000000e+03,3.360000000000000000e+06,4.107497072540786109e-02
1.829000000000000000e+03,3.360000000000000000e+06,4.107372380166882803e-02
1.830000000000000000e+03,3.360000000000000000e+06,4.107247755949514079e-02
1.831000000000000000e+03,3.360000000000000000e+06,4.107123199814211728e-02
1.832000000000000000e+03,3.360000000000000000e+06,4.106998711686631054e-02
1.833000000000000000e+03,3.360000000000000000e+06,4.106874291492548096e-02
1.834000000000000000e+03,3.360000000000000000e+06,4.106749939157858936e-02
1.835000000000000000e+03,3.360000000000000000e+06,4.106625654608583864e-02
1.836000000000000000e+03,3.360000000000000000e+06,4.106501437770861129e-02
1.837000000000000000e+03,3.360000000000000000e+06,4.106377288570952494e-02
1.838000000000000000e+03,3.360000000000000000e+06,4.106253206935235600e-02
1.839000000000000000e+03,3.360000000000000000e+06,4.106129192790215071e-02
1.840000000000000000e+03,3.360000000000000000e+06,4.106005246062508635e-02
1.841000000000000000e+03,3.360000000000000000e+06,4.105881366678858224e-02
1.842000000000000000e+03,3.360000000000000000e+06,4.105757554566122347e-02
1.843000000000000000e+03,3.360000000000000000e+06,4.105633809651280247e-02
1.844000000000000000e+03,3.360000000000000000e+06,4.105510131861429129e-02
1.845000000000000000e+03,3.360000000000000000e+06,4.105386521123785548e-02
1.846000000000000000e+03,3.360000000000000000e+06,4.105262977365682631e-02
1.847000000000000000e+03,3.360000000000000000e+06,4.105139500514573547e-02
1.848000000000000000e+03,3.360000000000000000e+06,4.105016090498028736e-02
